date_2,gid,team_slug_1,fg_1,fga_1,fg%_1,3p_1,3pa_1,3p%_1,ft_1,fta_1,ft%_1,orb_1,drb_1,trb_1,ast_1,stl_1,blk_1,tov_1,pf_1,pts_1,home_1,betting_line_1,team_slug_2,fg_2,fga_2,fg%_2,3p_2,3pa_2,3p%_2,ft_2,fta_2,ft%_2,orb_2,drb_2,trb_2,ast_2,stl_2,blk_2,tov_2,pf_2,pts_2,home_2,betting_line_2,off_rating_1,off_rating_2,over_under
2013-11-13,201311130ATL,ATL,35,77,0.455,5,24,0.208,16,21,0.762,8,39,47,22,1,6,15,15,91,1,-4.5,NYK,37,88,0.42,12,34,0.353,9,13,0.692,8,29,37,24,11,3,3,19,95,0,4.5,102.48,106.99,201.5
2013-11-13,201311130ATL,NYK,37,88,0.42,12,34,0.353,9,13,0.692,8,29,37,24,11,3,3,19,95,0,4.5,ATL,35,77,0.455,5,24,0.208,16,21,0.762,8,39,47,22,1,6,15,15,91,1,-4.5,106.99,102.48,201.5
2013-11-15,201311150ATL,ATL,39,81,0.481,10,23,0.435,25,31,0.806,6,37,43,25,6,5,15,23,113,1,-8.5,PHI,40,86,0.465,5,19,0.263,18,23,0.783,9,30,39,21,6,4,16,19,103,0,8.5,111.62,101.74,207.0
2013-11-15,201311150ATL,PHI,40,86,0.465,5,19,0.263,18,23,0.783,9,30,39,21,6,4,16,19,103,0,8.5,ATL,39,81,0.481,10,23,0.435,25,31,0.806,6,37,43,25,6,5,15,23,113,1,-8.5,101.74,111.62,207.0
2013-11-16,201311160NYK,ATL,44,78,0.564,9,22,0.409,13,17,0.765,5,31,36,20,9,4,13,15,110,0,4.0,NYK,34,90,0.378,10,30,0.333,12,16,0.75,19,29,48,19,6,3,14,20,90,1,-4.0,122.17,99.96,202.5
2013-11-16,201311160NYK,NYK,34,90,0.378,10,30,0.333,12,16,0.75,19,29,48,19,6,3,14,20,90,1,-4.0,ATL,44,78,0.564,9,22,0.409,13,17,0.765,5,31,36,20,9,4,13,15,110,0,4.0,99.96,122.17,202.5
2013-11-19,201311190MIA,ATL,33,74,0.446,11,24,0.458,11,15,0.733,13,26,39,22,8,3,24,21,88,0,8.5,MIA,41,81,0.506,10,21,0.476,12,19,0.632,10,27,37,26,13,4,15,17,104,1,-8.5,96.99,114.63,203.0
2013-11-19,201311190MIA,MIA,41,81,0.506,10,21,0.476,12,19,0.632,10,27,37,26,13,4,15,17,104,1,-8.5,ATL,33,74,0.446,11,24,0.458,11,15,0.733,13,26,39,22,8,3,24,21,88,0,8.5,114.63,96.99,203.0
2013-11-20,201311200ATL,ATL,36,71,0.507,4,15,0.267,17,24,0.708,5,33,38,23,11,8,21,12,93,1,-5.5,DET,35,87,0.402,6,22,0.273,9,12,0.75,15,28,43,17,13,5,15,21,85,0,5.5,100.36,91.72,202.0
2013-11-20,201311200ATL,DET,35,87,0.402,6,22,0.273,9,12,0.75,15,28,43,17,13,5,15,21,85,0,5.5,ATL,36,71,0.507,4,15,0.267,17,24,0.708,5,33,38,23,11,8,21,12,93,1,-5.5,91.72,100.36,202.0
2013-11-22,201311220DET,ATL,37,85,0.435,8,23,0.348,14,21,0.667,11,35,46,20,10,2,14,14,96,0,3.5,DET,36,84,0.429,3,13,0.231,14,22,0.636,11,41,52,19,8,7,15,16,89,1,-3.5,99.97,92.68,197.0
2013-11-22,201311220DET,DET,36,84,0.429,3,13,0.231,14,22,0.636,11,41,52,19,8,7,15,16,89,1,-3.5,ATL,37,85,0.435,8,23,0.348,14,21,0.667,11,35,46,20,10,2,14,14,96,0,3.5,92.68,99.97,197.0
2013-11-23,201311230ATL,ATL,36,93,0.387,5,20,0.25,10,12,0.833,12,26,38,23,8,3,8,26,87,1,-9.0,BOS,33,72,0.458,4,16,0.25,24,31,0.774,7,40,47,18,3,7,17,14,94,0,9.0,94.42,102.02,194.5
2013-11-23,201311230ATL,BOS,33,72,0.458,4,16,0.25,24,31,0.774,7,40,47,18,3,7,17,14,94,0,9.0,ATL,36,93,0.387,5,20,0.25,10,12,0.833,12,26,38,23,8,3,8,26,87,1,-9.0,102.02,94.42,194.5
2013-11-26,201311260ATL,ATL,30,73,0.411,9,22,0.409,23,27,0.852,4,31,35,22,7,5,14,19,92,1,-7.0,ORL,42,83,0.506,8,22,0.364,17,20,0.85,6,37,43,29,8,3,12,20,109,0,7.0,97.25,115.22,199.0
2013-11-26,201311260ATL,ORL,42,83,0.506,8,22,0.364,17,20,0.85,6,37,43,29,8,3,12,20,109,0,7.0,ATL,30,73,0.411,9,22,0.409,23,27,0.852,4,31,35,22,7,5,14,19,92,1,-7.0,115.22,97.25,199.0
2013-11-27,201311270HOU,ATL,32,75,0.427,8,22,0.364,12,15,0.8,6,26,32,21,8,4,18,24,84,0,8.0,HOU,43,78,0.551,14,27,0.519,13,21,0.619,8,34,42,25,8,3,13,17,113,1,-8.0,91.96,123.71,204.5
