new_index,gid,team_slug_home,away_home_home,fg_home,fga_home,fg%_home,3p_home,3pa_home,3p%_home,ft_home,fta_home,ft%_home,orb_home,drb_home,trb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,betting_line_home,betting_line_terms,team_slug_away,away_home_away,fg_away,fga_away,fg%_away,3p_away,3pa_away,3p%_away,ft_away,fta_away,ft%_away,orb_away,drb_away,trb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,date,betting_line_away,over_under_terms,over_under
10,201312100ATL,ATL,home,31,87,0.356,9,26,0.346,21,27,0.778,12,33,45,24,10,5,15,22,92,3.5,-104.0,OKC,away,38,86,0.442,4,18,0.222,21,28,0.75,10,44,54,27,8,7,16,19,101,2013-12-10,-3.5,-104.0,203.5
11,201312130ATL,ATL,home,38,89,0.427,7,21,0.333,18,24,0.75,11,35,46,27,10,1,15,14,101,-6.0,-103.0,WAS,away,42,100,0.42,4,14,0.286,11,18,0.611,18,42,60,26,4,3,17,20,99,2013-12-13,6.0,-109.0,194.0
12,201312160ATL,ATL,home,45,92,0.489,11,27,0.407,13,15,0.867,15,29,44,34,10,6,10,18,114,-6.0,-102.0,LAL,away,39,82,0.476,5,21,0.238,17,21,0.81,12,31,43,18,6,4,14,16,100,2013-12-16,6.0,-109.0,205.0
13,201312180ATL,ATL,home,47,81,0.58,15,25,0.6,15,18,0.833,9,35,44,38,7,6,16,21,124,-6.0,-109.0,SAC,away,40,84,0.476,6,15,0.4,21,25,0.84,7,26,33,25,6,1,13,20,107,2013-12-18,6.0,-105.0,204.5
14,201312200ATL,ATL,home,45,86,0.523,10,26,0.385,18,24,0.75,10,36,46,32,10,7,10,20,118,-7.5,-101.0,UTA,away,35,94,0.372,3,18,0.167,12,15,0.8,17,32,49,21,6,8,15,17,85,2013-12-20,7.5,-113.0,198.5
15,201312280ATL,ATL,home,37,91,0.407,16,39,0.41,28,34,0.824,6,46,52,29,8,6,12,16,118,-6.0,-107.0,CHA,away,45,104,0.433,10,26,0.385,16,22,0.727,12,43,55,26,6,4,10,27,116,2013-12-28,6.0,-109.0,194.0
16,201401030ATL,ATL,home,37,80,0.463,10,31,0.323,16,19,0.842,7,34,41,23,15,4,19,19,100,3.0,-105.0,GSW,away,39,87,0.448,6,27,0.222,17,25,0.68,13,34,47,30,15,7,21,17,101,2014-01-03,-3.0,-105.0,209.0
17,201401080ATL,ATL,home,34,75,0.453,10,23,0.435,19,22,0.864,6,28,34,27,8,3,10,14,97,4.0,-105.0,IND,away,35,87,0.402,9,27,0.333,8,9,0.889,14,32,46,19,7,4,16,21,87,2014-01-08,-4.0,-105.0,187.5
18,201401100ATL,ATL,home,32,86,0.372,9,32,0.281,10,11,0.909,13,27,40,25,9,5,12,17,83,2.5,-105.0,HOU,away,29,70,0.414,6,19,0.316,16,22,0.727,10,34,44,15,3,2,16,18,80,2014-01-10,-2.5,-105.0,207.0
19,201401160ATL,ATL,home,40,81,0.494,8,25,0.32,22,22,1.0,7,21,28,26,10,7,15,12,110,1.0,-105.0,BRK,away,53,91,0.582,16,27,0.593,5,7,0.714,12,28,40,38,7,4,17,21,127,2014-01-16,-1.0,-105.0,194.5
